index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
2362,Kyrgyz Republic,Maldives,0.85,0.85,0.85,50,50,3,0,2.5,Win
2363,Syria,IR Iran,0.85,0.85,0.85,85,127,0,1,2.5,Lose
2364,Belgium,San Marino,0.99,0.99,0.99,169,50,6,0,2.5,Win
2365,Fiji,New Zealand,0.85,0.85,0.85,50,67,0,1,2.5,Lose
2366,France,England,0.99,0.99,0.99,196,187,0,1,1,Lose
2367,Georgia,Moldova,0.99,0.99,0.99,98,79,2,0,2.5,Win
2368,North Macedonia,Iceland,0.99,0.99,0.99,111,124,1,0,2.5,Win
2369,Morocco,Ghana,0.85,0.85,0.85,181,165,1,0,2.5,Win
2370,Nigeria,Kenya,0.85,0.85,0.85,139,103,3,0,2.5,Win
2371,Portugal,Albania,0.99,0.99,0.99,184,80,2,0,2.5,Win
2372,Ukraine,Germany,0.99,0.99,0.99,149,198,0,0,2.5,Draw
2373,Angola,Cameroon,0.85,0.85,0.85,134,159,1,1,2.5,Draw
2374,Argentina,Peru,1,1,1,179,161,2,0,2.5,Win
2375,Belarus,Scotland,0.99,0.99,0.99,100,171,0,1,2.5,Lose
2376,Bulgaria,Luxembourg,0.99,0.99,0.99,186,70,4,0,2.5,Win
2377,China PR,Tajikistan,0.85,0.85,0.85,140,50,0,0,2.5,Draw
2378,Denmark,Bosnia and Herzegovina,0.99,0.99,0.99,197,84,2,0,2.5,Win
2379,Ecuador,Chile,1,1,1,160,173,1,1,2.5,Draw
2380,Egypt,Tunisia,0.85,0.85,0.85,167,176,0,0,2.5,Draw
2381,El Salvador,Mexico,0.85,0.85,0.85,129,188,0,1,2.5,Lose
2382,Estonia,Sweden,0.99,0.99,0.99,99,180,2,3,2.5,Lose
2383,Faroe Islands,Malta,0.99,0.99,0.99,68,77,2,1,2.5,Win
2384,Finland,Azerbaijan,0.99,0.99,0.99,128,78,3,0,2.5,Win
2385,Guinea,Burkina Faso,0.85,0.85,0.85,133,94,3,1,2.5,Win
2386,Hungary,Norway,0.99,0.99,0.99,126,185,1,1,2.5,Draw
2387,Italy,Brazil,0.99,1,0.995,194,200,3,3,1,Draw
2388,Japan,Croatia,0.85,0.99,0.92,182,172,4,3,1,Win
2389,Latvia,Austria,0.99,0.99,0.99,120,154,1,3,2.5,Lose
2390,Liberia,Namibia,0.85,0.85,0.85,108,104,1,2,2.5,Lose
2391,Russia,Israel,0.99,0.99,0.99,190,157,2,0,2.5,Win
2392,South Africa,Zambia,0.85,0.85,0.85,175,177,3,0,2.5,Win
2393,Spain,Czech Republic,0.99,0.99,0.99,195,192,1,0,2.5,Win
2394,Togo,Zimbabwe,0.85,0.85,0.85,123,145,2,1,2.5,Win
2395,Uruguay,Colombia,1,1,1,146,189,1,1,2.5,Draw
2396,Venezuela,Bolivia,1,1,1,87,168,1,1,2.5,Draw
2397,Vietnam,Turkmenistan,0.85,0.85,0.85,92,52,0,4,2.5,Lose
2398,IR Iran,Kyrgyz Republic,0.85,0.85,0.85,127,50,3,1,2.5,Win
2399,Maldives,Syria,0.85,0.85,0.85,50,85,0,12,2.5,Lose
2400,England,Brazil,0.99,1,0.995,187,200,0,1,1,Lose
2401,Argentina,Ecuador,1,1,1,179,160,0,0,3,Draw
2402,Australia,Solomon Islands,0.85,0.85,0.85,166,61,13,0,2.5,Win
2403,Chile,Paraguay,1,1,1,173,178,0,1,3,Lose
2404,France,Italy,0.99,0.99,0.99,196,194,2,2,1,Draw
2405,Iceland,Lithuania,0.99,0.99,0.99,124,151,0,0,2.5,Draw
2406,IR Iran,Maldives,0.85,0.85,0.85,127,50,9,0,2.5,Win
2407,Kyrgyz Republic,Syria,0.85,0.85,0.85,50,85,2,1,2.5,Win
2408,New Zealand,Papua New Guinea,0.85,0.85,0.85,67,50,7,0,2.5,Win
2409,Pakistan,Kazakhstan,0.85,0.99,0.92,50,50,0,7,2.5,Lose
2410,Bolivia,Venezuela,1,1,1,168,87,1,0,3,Win
2411,Croatia,Turkey,0.99,0.99,0.99,172,158,1,1,1,Draw
2412,Korea Republic,Egypt,0.85,0.85,0.85,164,167,3,1,1,Win
2413,Peru,Uruguay,1,1,1,161,146,1,0,3,Win
2414,Australia,Tahiti,0.85,0.85,0.85,166,50,5,0,2.5,Win
2415,Brazil,Costa Rica,1,0.85,0.925,200,147,5,0,3,Win
2416,IR Iran,Syria,0.85,0.85,0.85,127,85,2,2,2.5,Draw
2417,Maldives,Kyrgyz Republic,0.85,0.85,0.85,50,50,0,6,2.5,Lose
2418,Mexico,Colombia,0.85,1,0.925,188,189,2,1,3,Win
2419,Yemen,Indonesia,0.85,0.85,0.85,58,91,1,1,2.5,Draw
2420,Argentina,Chile,1,1,1,179,173,2,0,3,Win
2421,Korea Republic,Ghana,0.85,0.85,0.85,164,165,3,0,1,Win
2422,Paraguay,Ecuador,1,1,1,178,160,0,2,3,Lose
2423,Poland,Georgia,0.99,0.99,0.99,143,98,4,1,2.5,Win
2424,Bolivia,Peru,1,1,1,168,161,2,0,3,Win
