index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
2032,Australia,New Zealand,0.85,0.85,0.85,150,68,1,0,1,Win
2033,Korea Republic,Norway,0.85,0.99,0.92,156,186,1,0,1,Win
2034,Benin,Togo,0.85,0.85,0.85,57,113,1,1,1,Draw
2035,Mozambique,Zimbabwe,0.85,0.85,0.85,115,129,1,2,1,Lose
2036,USA,Mexico,0.85,0.85,0.85,182,189,0,2,1,Lose
2037,Australia,Korea Republic,0.85,0.85,0.85,150,156,2,1,1,Win
2038,Israel,Greece,0.99,0.99,0.99,148,165,1,1,1,Draw
2039,Italy,Northern Ireland,0.99,0.99,0.99,190,136,2,0,1,Win
2040,Mexico,Peru,0.85,1,0.925,189,146,0,0,1,Draw
2041,New Zealand,Norway,0.85,0.99,0.92,68,186,0,3,1,Lose
2042,Portugal,France,0.99,0.99,0.99,187,197,0,2,1,Lose
2043,Australia,Norway,0.85,0.99,0.92,150,186,1,0,1,Win
2044,Korea Republic,New Zealand,0.85,0.85,0.85,156,68,3,1,1,Win
2045,Malawi,Zambia,0.85,0.85,0.85,112,180,0,2,2.5,Lose
2046,Cameroon,Namibia,0.85,0.85,0.85,144,97,4,0,2.5,Win
2047,Chile,Honduras,1,0.85,0.925,174,155,3,2,1,Win
2048,Guinea,Tunisia,0.85,0.85,0.85,127,177,1,0,2.5,Win
2049,Côte d'Ivoire,Benin,0.85,0.85,0.85,149,57,1,0,2.5,Win
2050,Lebanon,Estonia,0.85,0.99,0.92,103,98,2,0,1,Win
2051,Liberia,Togo,0.85,0.85,0.85,106,113,1,2,2.5,Lose
2052,Mali,Algeria,0.85,0.85,0.85,133,151,1,0,2.5,Win
2053,Mozambique,Mauritius,0.85,0.85,0.85,115,50,3,0,2.5,Win
2054,Eswatini,Lesotho,0.85,0.85,0.85,50,50,3,1,1,Win
2055,Zimbabwe,Ghana,0.85,0.85,0.85,129,175,0,0,2.5,Draw
2056,China PR,USA,0.85,0.85,0.85,124,182,2,1,1,Win
2057,China PR,USA,0.85,0.85,0.85,124,182,1,1,1,Draw
2058,Bolivia,Slovakia,1,0.99,0.995,161,170,0,1,1,Lose
2059,Lebanon,Jordan,0.85,0.85,0.85,103,54,1,0,1,Win
2060,Costa Rica,Slovakia,0.85,0.99,0.92,128,170,2,2,1,Draw
2061,Mexico,Ecuador,0.85,1,0.925,189,167,3,1,1,Win
2062,Jordan,Lebanon,0.85,0.85,0.85,54,103,0,0,1,Draw
2063,Colombia,Slovakia,1,0.99,0.995,196,170,1,0,1,Win
2064,Lebanon,Jordan,0.85,0.85,0.85,103,54,0,0,1,Draw
2065,Thailand,Japan,0.85,0.85,0.85,143,179,1,1,1,Draw
2066,Russia,Switzerland,0.99,0.99,0.99,193,153,2,1,1,Win
2067,Estonia,Scotland,0.99,0.99,0.99,98,171,0,0,2.5,Draw
2068,Northern Ireland,Belgium,0.99,0.99,0.99,136,158,3,0,1,Win
2069,Thailand,Sweden,0.85,0.99,0.92,143,183,0,0,1,Draw
2070,Wales,Republic of Ireland,0.99,0.99,0.99,120,164,0,0,1,Draw
2071,Bolivia,Chile,1,1,1,161,174,1,1,2.5,Draw
2072,Colombia,Argentina,1,1,1,196,178,0,1,2.5,Lose
2073,Ecuador,Uruguay,1,1,1,167,157,4,0,2.5,Win
2074,England,Italy,0.99,0.99,0.99,188,190,0,1,2.5,Lose
2075,Jamaica,Venezuela,0.85,1,0.925,168,89,0,0,1,Draw
2076,Paraguay,Peru,1,1,1,162,146,2,1,2.5,Win
2077,Spain,Malta,0.99,0.99,0.99,192,78,4,0,2.5,Win
2078,Turkey,Finland,0.99,0.99,0.99,169,121,1,1,1,Draw
2079,Japan,Sweden,0.85,0.99,0.92,179,183,0,1,1,Lose
2080,Cyprus,Latvia,0.99,0.99,0.99,122,118,2,0,1,Win
2081,Lithuania,Poland,0.99,0.99,0.99,152,147,0,0,1,Draw
2082,Cyprus,Poland,0.99,0.99,0.99,122,147,2,3,1,Lose
2083,Latvia,Lithuania,0.99,0.99,0.99,118,152,1,0,1,Win
2084,Tonga,Solomon Islands,0.85,0.85,0.85,50,50,0,4,2.5,Lose
2085,Iraq,Jordan,0.85,0.85,0.85,102,54,1,0,1,Win
2086,Senegal,Mali,0.85,0.85,0.85,142,133,1,1,1,Draw
2087,Thailand,Sweden,0.85,0.99,0.92,143,183,1,3,1,Lose
2088,Cyprus,Lithuania,0.99,0.99,0.99,122,152,1,0,1,Win
2089,Fiji,Solomon Islands,0.85,0.85,0.85,50,50,1,2,1,Lose
2090,Latvia,Poland,0.99,0.99,0.99,118,147,2,3,1,Lose
2091,Kuwait,Egypt,0.85,0.85,0.85,138,172,2,0,1,Win
2092,Costa Rica,Venezuela,0.85,1,0.925,128,89,5,2,1,Win
2093,Greece,Portugal,0.99,0.99,0.99,165,187,0,0,1,Draw
2094,Botswana,Eswatini,0.85,0.85,0.85,50,50,0,0,1,Draw
2095,China PR,Singapore,0.85,0.85,0.85,124,108,3,1,1,Win
2096,Fiji,Solomon Islands,0.85,0.85,0.85,50,50,3,2,1,Win
2097,Jamaica,Bermuda,0.85,0.85,0.85,168,50,1,0,1,Win
2098,Malaysia,Finland,0.85,0.99,0.92,104,121,2,1,1,Win
2099,Bosnia and Herzegovina,Vietnam,0.99,0.85,0.92,50,101,4,0,1,Win
2100,Hong Kong,Korea Republic,0.85,0.85,0.85,76,156,0,2,2.5,Lose
2101,Indonesia,Zimbabwe,0.85,0.85,0.85,81,129,0,0,1,Draw
2102,Benin,Algeria,0.85,0.85,0.85,57,151,1,1,2.5,Draw
2103,Botswana,Lesotho,0.85,0.85,0.85,50,50,1,4,1,Lose
2104,China PR,Finland,0.85,0.99,0.92,124,121,2,1,1,Win
2105,Ethiopia,Egypt,0.85,0.85,0.85,92,172,1,1,2.5,Draw
2106,Jamaica,Bermuda,0.85,0.85,0.85,168,50,3,2,1,Win
2107,Malaysia,Singapore,0.85,0.85,0.85,104,108,0,0,1,Draw
2108,Mali,Côte d'Ivoire,0.85,0.85,0.85,133,149,1,2,2.5,Lose
2109,Mauritius,Zambia,0.85,0.85,0.85,50,180,0,0,2.5,Draw
2110,Tanzania,Liberia,0.85,0.85,0.85,111,106,1,1,2.5,Draw
2111,Zimbabwe,Angola,0.85,0.85,0.85,129,130,1,0,2.5,Win
2112,Bosnia and Herzegovina,Zimbabwe,0.99,0.85,0.92,50,129,2,2,1,Draw
2113,Indonesia,Vietnam,0.85,0.85,0.85,81,101,1,0,1,Win
2114,Malaysia,China PR,0.85,0.85,0.85,104,124,0,2,1,Lose
2115,Singapore,Finland,0.85,0.99,0.92,108,121,0,1,1,Lose
2116,Bosnia and Herzegovina,Indonesia,0.99,0.85,0.92,50,81,2,0,1,Win
2117,Brazil,Poland,1,0.99,0.995,200,147,4,2,1,Win
2118,France,Netherlands,0.99,0.99,0.99,197,191,2,1,1,Win
2119,Israel,Germany,0.99,0.99,0.99,148,198,0,1,1,Lose
2120,Vietnam,Zimbabwe,0.85,0.85,0.85,101,129,0,6,1,Lose
2121,China PR,Zimbabwe,0.85,0.85,0.85,121,150,3,1,1,Win
2122,Malaysia,Bosnia and Herzegovina,0.85,0.99,0.92,103,61,0,1,1,Lose
2123,Azerbaijan,Estonia,0.99,0.99,0.99,75,96,0,2,1,Lose
2124,Botswana,Malawi,0.85,0.85,0.85,50,112,1,4,1,Lose
2125,Solomon Islands,Tonga,0.85,0.85,0.85,50,50,9,0,2.5,Win
2126,Bosnia and Herzegovina,China PR,0.99,0.85,0.92,61,121,0,3,1,Lose
2127,Jamaica,USA,0.85,0.85,0.85,170,178,0,0,2.5,Draw
2128,Lesotho,Zambia,0.85,0.85,0.85,50,180,0,2,1,Lose
2129,Mexico,Canada,0.85,0.85,0.85,189,152,4,0,2.5,Win
2130,Saudi Arabia,Syria,0.85,0.85,0.85,164,85,3,0,1,Win
2131,Thailand,Korea Republic,0.85,0.85,0.85,139,159,1,3,2.5,Lose
2132,Eswatini,Mozambique,0.85,0.85,0.85,50,117,0,4,1,Lose
2133,Bahrain,Oman,0.85,0.85,0.85,81,108,1,0,1,Win
2134,Costa Rica,Cameroon,0.85,0.85,0.85,134,141,5,0,1,Win
2135,Saudi Arabia,Indonesia,0.85,0.85,0.85,164,80,2,0,1,Win
2136,Thailand,Hong Kong,0.85,0.85,0.85,139,65,2,0,2.5,Win
2137,Cyprus,Greece,0.99,0.99,0.99,123,160,0,4,1,Lose
2138,Czech Republic,Poland,0.99,0.99,0.99,194,144,2,1,1,Win
2139,Israel,Sweden,0.99,0.99,0.99,148,184,0,1,1,Lose
2140,North Macedonia,Australia,0.99,0.85,0.92,115,167,0,1,1,Lose
2141,Saudi Arabia,Indonesia,0.85,0.85,0.85,164,80,3,1,1,Win
2142,El Salvador,Guatemala,0.85,0.85,0.85,126,94,0,0,1,Draw
2143,St. Lucia,St. Vincent and the Grenadines,0.85,0.85,0.85,66,107,3,2,1,Win
2144,Thailand,Japan,0.85,0.85,0.85,139,181,3,1,1,Win
2145,Costa Rica,Mexico,0.85,0.85,0.85,134,189,0,0,2.5,Draw
2146,Malaysia,Bangladesh,0.85,0.85,0.85,103,63,2,0,2.5,Win
2147,Namibia,Zimbabwe,0.85,0.85,0.85,99,150,2,1,1,Win
2148,USA,Canada,0.85,0.85,0.85,178,152,3,0,2.5,Win
2149,Austria,Slovenia,0.99,0.99,0.99,166,111,0,2,1,Lose
2150,Bangladesh,Chinese Taipei,0.85,0.85,0.85,63,50,1,3,2.5,Lose
2151,Kuwait,Bahrain,0.85,0.85,0.85,131,81,3,1,1,Win
2152,Malaysia,Saudi Arabia,0.85,0.85,0.85,103,164,0,0,2.5,Draw
2153,Malta,Hungary,0.99,0.99,0.99,78,124,1,4,1,Lose
2154,United Arab Emirates,Lebanon,0.85,0.85,0.85,136,113,2,1,1,Win
2155,Bangladesh,Saudi Arabia,0.85,0.85,0.85,63,164,1,4,2.5,Lose
2156,Malaysia,Chinese Taipei,0.85,0.85,0.85,103,50,2,0,2.5,Win
2157,Azerbaijan,Turkmenistan,0.99,0.85,0.92,75,58,3,0,1,Win
2158,Bolivia,Jamaica,1,0.85,0.925,163,170,6,0,1,Win
2159,Costa Rica,USA,0.85,0.85,0.85,134,178,3,2,2.5,Win
2160,Nepal,Macau,0.85,0.85,0.85,50,50,1,1,2.5,Draw
2161,Oman,Japan,0.85,0.85,0.85,108,181,0,1,2.5,Lose
2162,Panama,Belize,0.85,0.85,0.85,97,50,1,1,1,Draw
2163,Guatemala,Ecuador,0.85,1,0.925,94,165,0,0,1,Draw
2164,Macau,Japan,0.85,0.85,0.85,50,181,0,10,2.5,Lose
2165,Oman,Nepal,0.85,0.85,0.85,108,50,1,0,2.5,Win
2166,Nepal,Japan,0.85,0.85,0.85,50,181,0,6,2.5,Lose
2167,Oman,Macau,0.85,0.85,0.85,108,50,4,0,2.5,Win
2168,Saudi Arabia,Bangladesh,0.85,0.85,0.85,164,63,3,0,2.5,Win
2169,Albania,Ukraine,0.99,0.99,0.99,82,133,0,1,2.5,Lose
2170,Croatia,Denmark,0.99,0.99,0.99,175,196,1,1,2.5,Draw
2171,Cyprus,Russia,0.99,0.99,0.99,123,192,1,1,2.5,Draw
2172,England,Mexico,0.99,0.85,0.92,188,189,2,0,1,Win
2173,Italy,Moldova,0.99,0.99,0.99,190,83,3,0,2.5,Win
2174,Netherlands,San Marino,0.99,0.99,0.99,191,50,4,0,2.5,Win
2175,Northern Ireland,Portugal,0.99,0.99,0.99,132,187,0,0,2.5,Draw
2176,Romania,Liechtenstein,0.99,0.99,0.99,185,50,8,0,2.5,Win
2177,Saudi Arabia,Malaysia,0.85,0.85,0.85,164,103,3,0,2.5,Win
2178,Scotland,Estonia,0.99,0.99,0.99,173,96,2,0,2.5,Win
2179,Sierra Leone,Senegal,0.85,0.85,0.85,114,142,2,1,1,Win
2180,Tanzania,Burkina Faso,0.85,0.85,0.85,110,101,3,2,1,Win
2181,United Arab Emirates,Norway,0.85,0.99,0.92,136,183,1,4,1,Lose
2182,Wales,Belgium,0.99,0.99,0.99,118,156,1,2,2.5,Lose
2183,Belize,Panama,0.85,0.85,0.85,50,97,0,1,1,Lose
2184,China PR,Iraq,0.85,0.85,0.85,121,102,0,2,1,Lose
2185,Gabon,Togo,0.85,0.85,0.85,145,130,2,1,1,Win
2186,Georgia,Armenia,0.99,0.99,0.99,104,92,7,0,1,Win
2187,Hong Kong,Thailand,0.85,0.85,0.85,65,139,3,2,2.5,Win
2188,Bangladesh,Malaysia,0.85,0.85,0.85,63,103,0,1,2.5,Lose
2189,Luxembourg,Israel,0.99,0.99,0.99,76,148,0,3,2.5,Lose
2190,Malta,Slovakia,0.99,0.99,0.99,78,176,0,2,2.5,Lose
2191,Saudi Arabia,Chinese Taipei,0.85,0.85,0.85,164,50,6,0,2.5,Win
2192,India,China PR,0.85,0.85,0.85,79,121,0,0,1,Draw
2193,Albania,Germany,0.99,0.99,0.99,82,198,2,3,2.5,Lose
2194,Azerbaijan,Finland,0.99,0.99,0.99,75,122,1,2,2.5,Lose
2195,Barbados,Grenada,0.85,0.85,0.85,89,73,1,1,1,Draw
2196,Bolivia,Argentina,1,1,1,163,182,2,1,2.5,Win
2197,Bosnia and Herzegovina,Greece,0.99,0.99,0.99,61,160,0,1,2.5,Lose
2198,Brazil,Chile,1,1,1,200,179,4,0,1,Win
2199,Bulgaria,Cyprus,0.99,0.99,0.99,186,123,4,1,2.5,Win
2200,Croatia,Slovenia,0.99,0.99,0.99,175,111,3,3,2.5,Draw
2201,France,Sweden,0.99,0.99,0.99,197,184,1,0,1,Win
2202,Hungary,Australia,0.99,0.85,0.92,124,167,1,3,1,Lose
2203,Lithuania,Romania,0.99,0.99,0.99,151,185,0,1,2.5,Lose
2204,North Macedonia,Republic of Ireland,0.99,0.99,0.99,115,161,3,2,2.5,Win
2205,Paraguay,Colombia,1,1,1,169,195,2,1,2.5,Win
2206,Peru,Ecuador,1,1,1,155,165,1,1,2.5,Draw
2207,Poland,Italy,0.99,0.99,0.99,144,190,0,0,2.5,Draw
2208,Scotland,Austria,0.99,0.99,0.99,173,166,2,0,2.5,Win
2209,Switzerland,Latvia,0.99,0.99,0.99,149,116,1,0,1,Win
2210,Trinidad and Tobago,Guyana,1,1,1,158,50,3,0,1,Win
2211,Turkey,Netherlands,0.99,0.99,0.99,171,191,1,0,2.5,Win
2212,Ukraine,Northern Ireland,0.99,0.99,0.99,133,132,2,1,2.5,Win
2213,Uruguay,Venezuela,1,1,1,157,88,3,1,2.5,Win
2214,China PR,Ghana,0.85,0.85,0.85,121,162,0,0,1,Draw
2215,Grenada,Guyana,0.85,1,0.925,73,50,5,1,1,Win
2216,Trinidad and Tobago,Barbados,1,0.85,0.925,158,89,0,1,1,Lose
2217,Nigeria,Guinea,0.85,0.85,0.85,136,143,2,1,2.5,Win
2218,Sierra Leone,Ghana,0.85,0.85,0.85,114,162,1,1,2.5,Draw
2219,Angola,Togo,0.85,0.85,0.85,128,130,3,1,2.5,Win
2220,Cameroon,Zimbabwe,0.85,0.85,0.85,141,150,1,0,2.5,Win
2221,Canada,El Salvador,0.85,0.85,0.85,152,126,0,0,2.5,Draw
2222,Congo,South Africa,0.85,0.85,0.85,106,177,2,0,2.5,Win
2223,Gabon,Morocco,0.85,0.85,0.85,145,172,0,4,2.5,Lose
2224,Guyana,Barbados,1,0.85,0.925,50,89,0,2,1,Lose
2225,India,Iraq,0.85,0.85,0.85,79,102,0,1,1,Lose
2226,Indonesia,Cambodia,0.85,0.85,0.85,80,50,8,0,2.5,Win
2227,Kenya,Burkina Faso,0.85,0.85,0.85,93,101,4,3,2.5,Win
2228,Liberia,Egypt,0.85,0.85,0.85,100,168,1,0,2.5,Win
2229,Namibia,Tunisia,0.85,0.85,0.85,99,174,1,2,2.5,Lose
2230,Trinidad and Tobago,Grenada,1,0.85,0.925,158,73,2,3,1,Lose
2231,India,Ghana,0.85,0.85,0.85,79,162,2,2,1,Draw
2232,Jordan,United Arab Emirates,0.85,0.85,0.85,56,136,0,0,2.5,Draw
2233,India,Iraq,0.85,0.85,0.85,79,115,1,1,1,Lose
2234,Bahrain,United Arab Emirates,0.85,0.85,0.85,89,132,1,2,2.5,Lose
2235,India,China PR,0.85,0.85,0.85,79,140,1,2,1,Lose
2236,Kuwait,IR Iran,0.85,0.85,0.85,134,113,0,2,1,Lose
2237,Malawi,Mozambique,0.85,0.85,0.85,114,121,2,2,1,Draw
2238,El Salvador,Guatemala,0.85,0.85,0.85,123,98,1,1,1,Draw
2239,Indonesia,Yemen,0.85,0.85,0.85,85,50,0,0,2.5,Draw
2240,Lebanon,Singapore,0.85,0.85,0.85,107,99,1,1,2.5,Draw
2241,Mexico,Jamaica,0.85,0.85,0.85,188,163,6,0,2.5,Win
2242,Bahrain,Jordan,0.85,0.85,0.85,89,59,1,0,2.5,Win
2243,Guatemala,Costa Rica,0.85,0.85,0.85,98,143,1,1,1,Draw
2244,Honduras,Panama,0.85,0.85,0.85,150,96,5,0,1,Win
2245,Thailand,Kuwait,0.85,0.85,0.85,139,134,3,1,1,Win
2246,Costa Rica,Nicaragua,0.85,0.85,0.85,143,50,5,1,1,Win
2247,Honduras,El Salvador,0.85,0.85,0.85,150,123,3,0,1,Win
2248,Zambia,Malawi,0.85,0.85,0.85,178,114,4,0,1,Win
2249,Jordan,Bahrain,0.85,0.85,0.85,59,89,4,1,2.5,Win
2250,Cambodia,Yemen,0.85,0.85,0.85,50,50,0,1,2.5,Lose
2251,Cameroon,Congo,0.85,0.85,0.85,138,102,2,0,1,Win
2252,El Salvador,Panama,0.85,0.85,0.85,123,96,2,0,1,Win
2253,Guatemala,Nicaragua,0.85,0.85,0.85,98,50,6,1,1,Win
2254,USA,Mexico,0.85,0.85,0.85,179,188,2,2,2.5,Draw
2255,China PR,Myanmar,0.85,0.85,0.85,140,93,5,0,1,Win
2256,IR Iran,Kenya,0.85,0.85,0.85,113,95,3,0,1,Win
2257,United Arab Emirates,Bahrain,0.85,0.85,0.85,132,89,3,0,2.5,Win
2258,China PR,Korea Republic,0.85,0.85,0.85,140,166,0,2,1,Lose
2259,Guatemala,El Salvador,0.85,0.85,0.85,98,123,1,0,1,Win
2260,Honduras,Costa Rica,0.85,0.85,0.85,150,143,0,4,1,Lose
2261,Costa Rica,El Salvador,0.85,0.85,0.85,143,123,1,0,1,Win
2262,Guatemala,Honduras,0.85,0.85,0.85,98,150,1,0,1,Win
2263,Turkmenistan,Azerbaijan,0.85,0.99,0.92,50,76,2,0,1,Win
2264,Namibia,Egypt,0.85,0.85,0.85,108,164,2,3,2.5,Lose
2265,Sierra Leone,Morocco,0.85,0.85,0.85,109,162,0,1,2.5,Lose
2266,Singapore,Kuwait,0.85,0.85,0.85,99,134,0,1,2.5,Lose
2267,United Arab Emirates,Jordan,0.85,0.85,0.85,132,59,2,0,2.5,Win
2268,Burkina Faso,Nigeria,0.85,0.85,0.85,97,129,1,2,2.5,Lose
2269,Cambodia,Indonesia,0.85,0.85,0.85,50,85,1,1,2.5,Draw
2270,Cameroon,Togo,0.85,0.85,0.85,138,130,2,0,2.5,Win
2271,Canada,Jamaica,0.85,0.85,0.85,145,163,0,0,2.5,Draw
2272,China PR,IR Iran,0.85,0.85,0.85,140,113,0,0,1,Draw
2273,Ghana,Gabon,0.85,0.85,0.85,160,142,3,0,2.5,Win
2274,Guatemala,Costa Rica,0.85,0.85,0.85,98,143,1,1,1,Draw
2275,Honduras,El Salvador,0.85,0.85,0.85,150,123,0,0,1,Draw
2276,Kenya,Guinea,0.85,0.85,0.85,95,141,1,0,2.5,Win
2277,Lebanon,Libya,0.85,0.85,0.85,107,50,2,0,1,Win
2278,Tunisia,Liberia,0.85,0.85,0.85,171,103,2,0,2.5,Win
2279,Zambia,Congo,0.85,0.85,0.85,178,102,3,0,2.5,Win
2280,Zimbabwe,Angola,0.85,0.85,0.85,151,126,0,0,2.5,Draw
2281,Chile,Venezuela,1,1,1,174,91,6,0,2.5,Win
2282,Slovakia,Iceland,0.99,0.99,0.99,180,124,3,1,1,Win
2283,Argentina,Ecuador,1,1,1,181,165,2,1,2.5,Win
2284,Armenia,Northern Ireland,0.99,0.99,0.99,90,137,0,0,2.5,Draw
2285,Austria,Estonia,0.99,0.99,0.99,153,104,2,0,2.5,Win
2286,Brazil,Mexico,1,0.85,0.925,200,188,4,0,1,Win
2287,Colombia,Peru,1,1,1,192,155,0,1,2.5,Lose
2288,Denmark,Slovenia,0.99,0.99,0.99,195,117,4,0,2.5,Win
2289,England,Georgia,0.99,0.99,0.99,186,100,2,0,2.5,Win
2290,Germany,Ukraine,0.99,0.99,0.99,198,152,2,0,2.5,Win
2291,Greece,Croatia,0.99,0.99,0.99,171,172,0,1,2.5,Lose
2292,Israel,Cyprus,0.99,0.99,0.99,147,122,2,0,2.5,Win
2293,Italy,Poland,0.99,0.99,0.99,193,148,3,0,2.5,Win
2294,Latvia,Belarus,0.99,0.99,0.99,111,105,2,0,2.5,Win
2295,Liechtenstein,Lithuania,0.99,0.99,0.99,50,146,0,2,2.5,Lose
2296,Malta,Faroe Islands,0.99,0.99,0.99,77,61,1,2,2.5,Lose
2297,Norway,Finland,0.99,0.99,0.99,182,131,1,1,2.5,Draw
2298,Paraguay,Uruguay,1,1,1,177,158,3,1,2.5,Win
2299,Romania,Republic of Ireland,0.99,0.99,0.99,191,159,1,0,2.5,Win
2300,Russia,Luxembourg,0.99,0.99,0.99,189,69,3,0,2.5,Win
2301,San Marino,Netherlands,0.99,0.99,0.99,50,190,0,6,2.5,Lose
2302,Sweden,Scotland,0.99,0.99,0.99,183,176,2,1,2.5,Win
2303,Switzerland,Hungary,0.99,0.99,0.99,149,128,1,0,2.5,Win
2304,Syria,Libya,0.85,0.85,0.85,87,50,1,1,1,Draw
2305,Turkey,Belgium,0.99,0.99,0.99,169,161,1,3,2.5,Lose
2306,Trinidad and Tobago,Jamaica,1,0.85,0.925,156,163,1,1,1,Draw
2307,Aruba,Jamaica,0.85,0.85,0.85,50,163,0,6,1,Lose
2308,El Salvador,Costa Rica,0.85,0.85,0.85,123,143,2,1,2.5,Win
2309,Tajikistan,Vietnam,0.85,0.85,0.85,50,94,4,0,2.5,Win
2310,Turkmenistan,China PR,0.85,0.85,0.85,50,140,1,4,2.5,Lose
2311,Ukraine,Armenia,0.99,0.99,0.99,152,90,1,1,2.5,Draw
2312,Côte d'Ivoire,Senegal,0.85,0.85,0.85,157,136,4,1,1,Win
2313,Kuwait,Lebanon,0.85,0.85,0.85,134,107,2,0,2.5,Win
2314,Yemen,Uzbekistan,0.85,0.85,0.85,50,88,0,1,2.5,Lose
2315,Costa Rica,Jamaica,0.85,0.85,0.85,143,163,3,1,2.5,Win
2316,Kazakhstan,Pakistan,0.99,0.85,0.92,50,50,3,0,2.5,Win
2317,Tajikistan,China PR,0.85,0.85,0.85,50,140,0,1,2.5,Lose
2318,Turkmenistan,Vietnam,0.85,0.85,0.85,50,94,2,1,2.5,Win
2319,Yemen,Cambodia,0.85,0.85,0.85,58,50,7,0,2.5,Win
2320,Estonia,Latvia,0.99,0.99,0.99,99,120,1,3,2.5,Lose
2321,Jamaica,El Salvador,0.85,0.85,0.85,162,129,1,0,2.5,Win
2322,Republic of Ireland,Liechtenstein,0.99,0.99,0.99,156,50,5,0,2.5,Win
2323,Japan,Korea Republic,0.85,0.85,0.85,182,164,1,1,1,Draw
2324,Thailand,Northern Ireland,0.85,0.99,0.92,136,137,0,0,1,Draw
2325,Sweden,Poland,0.99,0.99,0.99,180,143,2,2,1,Draw
2326,Pakistan,Iraq,0.85,0.85,0.85,50,125,2,6,2.5,Lose
2327,England,South Africa,0.99,0.85,0.92,187,175,2,1,1,Win
2328,Singapore,Lebanon,0.85,0.85,0.85,101,106,1,2,2.5,Lose
2329,Turkmenistan,Tajikistan,0.85,0.85,0.85,52,50,1,2,2.5,Lose
2330,Uzbekistan,Cambodia,0.85,0.85,0.85,96,50,6,0,2.5,Win
2331,Vietnam,China PR,0.85,0.85,0.85,92,140,1,3,2.5,Lose
2332,Kuwait,Zambia,0.85,0.85,0.85,138,177,2,1,1,Win
2333,Scotland,Wales,0.99,0.99,0.99,171,117,0,1,1,Lose
2334,El Salvador,Ecuador,0.85,1,0.925,129,160,0,2,1,Lose
2335,Korea Republic,Hong Kong,0.85,0.85,0.85,164,74,4,0,2.5,Win
2336,Norway,Brazil,0.99,1,0.995,185,200,4,2,1,Win
2337,Burkina Faso,Mali,0.85,0.85,0.85,94,131,2,0,1,Win
2338,Morocco,Ethiopia,0.85,0.85,0.85,181,83,4,0,2.5,Win
2339,Papua New Guinea,New Zealand,0.85,0.85,0.85,50,67,1,0,2.5,Win
2340,Poland,England,0.99,0.99,0.99,143,187,0,2,2.5,Lose
2341,Tanzania,Namibia,0.85,0.85,0.85,102,104,0,0,1,Draw
2342,Tunisia,Algeria,0.85,0.85,0.85,176,141,0,1,1,Lose
2343,Canada,Costa Rica,0.85,0.85,0.85,148,147,1,0,2.5,Win
2344,China PR,Turkmenistan,0.85,0.85,0.85,140,52,1,0,2.5,Win
2345,Indonesia,Uzbekistan,0.85,0.85,0.85,91,96,1,1,2.5,Draw
2346,Korea Republic,Thailand,0.85,0.85,0.85,164,136,0,0,2.5,Draw
2347,Malta,Scotland,0.99,0.99,0.99,77,171,2,3,1,Lose
2348,Vietnam,Tajikistan,0.85,0.85,0.85,92,50,0,4,2.5,Lose
2349,Zambia,Cameroon,0.85,0.85,0.85,177,159,3,0,1,Win
2350,Maldives,IR Iran,0.85,0.85,0.85,50,127,0,17,2.5,Lose
2351,France,Brazil,0.99,1,0.995,196,200,1,1,1,Draw
2352,England,Italy,0.99,0.99,0.99,187,194,2,0,1,Win
2353,Estonia,Azerbaijan,0.99,0.99,0.99,99,78,1,0,1,Win
2354,Kyrgyz Republic,IR Iran,0.85,0.85,0.85,50,127,0,7,2.5,Lose
2355,South Africa,Netherlands,0.85,0.99,0.92,175,193,0,2,1,Lose
2356,Syria,Maldives,0.85,0.85,0.85,85,50,12,0,2.5,Win
2357,Togo,Burkina Faso,0.85,0.85,0.85,123,94,0,0,1,Draw
2358,USA,Paraguay,0.85,1,0.925,174,178,0,0,1,Draw
2359,Kuwait,Singapore,0.85,0.85,0.85,138,101,4,0,2.5,Win
2360,Senegal,Algeria,0.85,0.85,0.85,132,141,0,0,1,Draw
2361,Iraq,Kazakhstan,0.85,0.99,0.92,125,50,1,2,2.5,Lose
